Climb name,Grade,Style,Partner(s),Notes,Date,Crag name,Grade Type,Grade System,Country
La Folie,E4 6a ***,Lead dnf,ChloeJ,"Found this absolutely nails!
The first half is quite overgrown and clearly not climbed often. I took an alternative start from Firefly due to this. From the big ledge it really steps up! It took me 4 attempts, retreating to the ledge each time, to crack the move up this first roof - leaving me pumped out of my mind.

The traverse out left to the obvious incut hold was ok but from there on I was greeted with a horrendous looking mantel on non-existent holds! 

At this point, I was thoroughly broken and exhausted and chose to lower off the gear, retrieving it via abseil.",29/Jul/23,Wintour's Leap,Trad,British,England
Firefly,E3 5c ***,Lead O/S,ChloeJ,"Perhaps not a true O/S as had seconded the E1 before. The harder independent climbing after the ledge was very good, with equally good (too much so?) fixed protection. Almost felt like a sport climb in places…🤨",29/Jul/23,Wintour's Leap,Trad,British,England
Jean Jeanie,VS 4c ***,2nd O/S,ChloeJ,Very very tired,25/Jul/23,Trowbarrow,Trad,British,England
Centurion,HVS 5a ***,2nd dnf,ChloeJ,Bailed after P1 because we were utterly exhausted and it was really cold. ,21/Jul/23,Ben Nevis,Trad,British,Scotland
Freak Out,E4 6a ***,Lead O/S,ChloeJ,"Thought I was going to come off about 4 times on this. Got very pumped working out the crux roof and had very little left in the tank for the remaining 15m or so. Had also used all the right gear by this point. It then turned out that the crack above was mostly wet. Had the fight of my life and narrowly clawed my way to the top - having used up all my chalk, psych, energy and bravado. Needed to lie down for a long time afterwards!",20/Jul/23,Aonach Dubh,Trad,British,Scotland
Inbred,HVS 5a ***,2nd O/S,ChloeJ,,17/Jul/23,Creag Dubh (Newtonmore),Trad,British,Scotland
Over the Hill,E3 5c ***,Lead O/S,ChloeJ,,17/Jul/23,Creag Dubh (Newtonmore),Trad,British,Scotland
Presumption,E1 5b ***,2nd O/S,ChloeJ,Belay ledge was a good place to observe some black guillemots!,07/Jul/23,Sheigra Sea Cliffs,Trad,British,Scotland
Monkey Man,E3 5c ***,Lead O/S,ChloeJ,,06/Jul/23,Sheigra Sea Cliffs,Trad,British,Scotland
Bloodlust Direct,E2 5b ***,2nd O/S,ChloeJ,,04/Jul/23,Sheigra Sea Cliffs,Trad,British,Scotland
No Porpoise,E3 6a ***,Lead O/S,ChloeJ,A steady plod on incut holds but then really packs it in at the top! E4 in the wired guide but E3 6a is probably fair.,04/Jul/23,Sheigra Sea Cliffs,Trad,British,Scotland
Warm Up,7b  **,Lead dnf,ChloeJ,"Couple of tries before the weather turned. Very good for a short route, would not recommend as a warmup!",02/Jul/23,Goat Crag,Sport,French,Scotland
Snow Flake,7a+  ***,Lead O/S,ChloeJ,"A good, very close fight!",29/Jun/23,Goat Crag,Sport,French,Scotland
Mac Talla,7b  ***,Lead RP,ChloeJ,"Went first try today, after a single bolt-bolt ascent to warm up.",29/Jun/23,Goat Crag,Sport,French,Scotland
Hydrotherapy,6c+  ***,Lead O/S,ChloeJ,Hard to work out the line. Makes much more sense on the wired topo vs the Rockfax/SMC one.,29/Jun/23,Goat Crag,Sport,French,Scotland
Watch Your Back,V4+  **,Sent x,ChloeJ,,28/Jun/23,Ardmair Beach,Bouldering,Font,Scotland
Smiley Problem,V3+  **,Sent x,ChloeJ,As fingery as I can imagine at the grade.,28/Jun/23,Ardmair Beach,Bouldering,Font,Scotland
Changing the Locks,V5+  ***,Sent x,ChloeJ,,28/Jun/23,Ardmair Beach,Bouldering,Font,Scotland
Mac Talla,7b  ***,Lead dog,ChloeJ,"3 tries, high point was the top crux. Brilliant route, will go back!",26/Jun/23,Goat Crag,Sport,French,Scotland
Teepee,6a+  **,Lead β,ChloeJ,,26/Jun/23,Goat Crag,Sport,French,Scotland
Boogie Street,6b  ***,Lead O/S,ChloeJ,Good and very varied!,24/Jun/23,Loch Maree Crag,Sport,French,Scotland
Bling,7a  ***,Lead RP,ChloeJ,2nd go. Thought the fingery moves near the start were the crux. Pretty sustained with powerful moves on sidepulls and undercuts thereafter. Interesting all the way to the chains!,24/Jun/23,Loch Maree Crag,Sport,French,Scotland
Celtic Knot,V3  **,Sent rpt,ChloeJ,"Would be rude not to. Always seems to take a few goes, even on subsequent repeat ascents!",22/Jun/23,Torridon Celtic Jumble,Bouldering,Font,Scotland
Wee Sitter,V1  ,Sent x,ChloeJ,Pretty physical after a few months off bouldering!,22/Jun/23,Torridon Celtic Jumble,Bouldering,Font,Scotland
Hairy Mary,VS 4b ***,2nd O/S,ChloeJ,,20/Jun/23,Suidhe Biorach,Trad,British,Scotland
Jamie Jampot,VS 4c ***,Lead O/S,ChloeJ,,20/Jun/23,Suidhe Biorach,Trad,British,Scotland
Digitalis,E3 5c ***,Lead O/S,ChloeJ,"Stellar route, very distinct crux near the top. Apart from the suspect flake, I’d consider this pretty well protected.",20/Jun/23,Suidhe Biorach,Trad,British,Scotland
